17:30 31/5/2023,"1,46"
17:30 31/5/2023,"2,32"
17:29 31/5/2023,"1,09"
17:29 31/5/2023,"1,74"
17:28 31/5/2023,"8,03"
17:28 31/5/2023,"1,65"
17:27 31/5/2023,"3,12"
17:27 31/5/2023,"1,43"
17:27 31/5/2023,"2,67"
17:26 31/5/2023,"1,84"
17:26 31/5/2023,"1,05"
17:26 31/5/2023,"1,25"
17:25 31/5/2023,"23,86"
17:24 31/5/2023,"1,77"
17:24 31/5/2023,"1,10"
17:24 31/5/2023,"1,98"
17:23 31/5/2023,"15,90"
17:22 31/5/2023,"21,94"
17:22 31/5/2023,"1,63"
17:21 31/5/2023,"1,00"
17:21 31/5/2023,"1,28"
17:20 31/5/2023,"31,77"
17:19 31/5/2023,"12,89"
17:19 31/5/2023,"2,03"
17:18 31/5/2023,"3,26"
17:18 31/5/2023,"2,75"
17:17 31/5/2023,"2,72"
17:17 31/5/2023,"1,06"
17:16 31/5/2023,"2,22"
17:16 31/5/2023,"1,08"
17:16 31/5/2023,"2,98"
17:15 31/5/2023,"3,49"
17:15 31/5/2023,"1,55"
17:15 31/5/2023,"1,67"
17:14 31/5/2023,"1,13"
17:14 31/5/2023,"2,81"
17:13 31/5/2023,"2,03"
17:13 31/5/2023,"6,60"
17:12 31/5/2023,"3,13"
17:12 31/5/2023,"1,24"
17:12 31/5/2023,"2,26"
17:11 31/5/2023,"1,23"
17:11 31/5/2023,"1,17"
17:11 31/5/2023,"1,78"
17:10 31/5/2023,"6,16"
17:09 31/5/2023,"18,76"
17:09 31/5/2023,"2,50"
17:07 31/5/2023,"30,68"
17:07 31/5/2023,"1,28"
17:07 31/5/2023,"1,32"
17:06 31/5/2023,"4,18"
17:06 31/5/2023,"2,06"
17:05 31/5/2023,"8,13"
17:04 31/5/2023,"8,04"
17:04 31/5/2023,"2,95"
17:04 31/5/2023,"1,27"
17:03 31/5/2023,"1,03"
17:03 31/5/2023,"1,03"
17:03 31/5/2023,"1,38"
17:03 31/5/2023,"1,40"
17:02 31/5/2023,"1,59"
17:02 31/5/2023,"1,09"
17:02 31/5/2023,"1,52"
17:02 31/5/2023,"2,43"
17:01 31/5/2023,"1,14"
17:01 31/5/2023,"3,75"
17:00 31/5/2023,"3,20"
17:00 31/5/2023,"1,00"
17:00 31/5/2023,"1,35"
17:00 31/5/2023,"1,08"
16:59 31/5/2023,"3,81"
16:59 31/5/2023,"1,49"
16:58 31/5/2023,"8,02"
16:58 31/5/2023,"1,19"
16:57 31/5/2023,"1,55"
16:57 31/5/2023,"1,01"
16:57 31/5/2023,"2,75"
16:57 31/5/2023,"2,75"
16:56 31/5/2023,"1,25"
16:56 31/5/2023,"1,50"
16:55 31/5/2023,"5,99"
16:55 31/5/2023,"1,29"
16:55 31/5/2023,"3,31"
16:54 31/5/2023,"2,83"
16:54 31/5/2023,"1,53"
16:53 31/5/2023,"1,53"
16:53 31/5/2023,"1,06"
16:53 31/5/2023,"1,40"
16:52 31/5/2023,"4,52"
16:52 31/5/2023,"5,85"
16:51 31/5/2023,"1,03"
16:51 31/5/2023,"2,88"
16:51 31/5/2023,"1,83"
16:50 31/5/2023,"1,11"
16:50 31/5/2023,"1,34"
16:50 31/5/2023,"1,02"
16:49 31/5/2023,"30,18"
16:48 31/5/2023,"1,25"
16:48 31/5/2023,"6,86"
16:47 31/5/2023,"2,82"
16:47 31/5/2023,"1,00"
16:47 31/5/2023,"1,77"
16:46 31/5/2023,"2,38"
16:45 31/5/2023,"92,57"
16:44 31/5/2023,"3,20"
16:44 31/5/2023,"2,91"
16:43 31/5/2023,"1,72"
16:43 31/5/2023,"2,00"
16:42 31/5/2023,"66,43"
16:41 31/5/2023,"2,23"
16:40 31/5/2023,"13,50"
16:40 31/5/2023,"3,92"
16:40 31/5/2023,"1,07"
16:39 31/5/2023,"13,78"
16:38 31/5/2023,"1,18"
16:38 31/5/2023,"1,05"
16:38 31/5/2023,"1,36"
16:38 31/5/2023,"1,36"
16:38 31/5/2023,"1,64"
16:37 31/5/2023,"1,10"
16:37 31/5/2023,"1,94"
16:36 31/5/2023,"3,78"
16:36 31/5/2023,"1,50"
16:36 31/5/2023,"2,67"
16:35 31/5/2023,"2,42"
16:34 31/5/2023,"7,55"
16:34 31/5/2023,"1,05"
16:34 31/5/2023,"5,54"
16:33 31/5/2023,"1,49"
16:33 31/5/2023,"1,08"
16:32 31/5/2023,"5,81"
16:32 31/5/2023,"1,61"
16:32 31/5/2023,"2,98"
16:31 31/5/2023,"2,89"
16:30 31/5/2023,"17,64"
